X,Y
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3223482
0.3223482,0.3280002
0.3280002,0.3319561
0.3319561,0.335912
0.335912,0.335912
0.335912,0.3398679
0.3398679,0.3438237
0.3438237,0.3477796
0.3477796,0.3517355
0.3517355,0.3551482
0.3551482,0.3572643
0.3572643,0.3572643
0.3572643,0.3574536
0.3574536,0.3560351
0.3560351,0.3534665
0.3534665,0.3497555
0.3497555,0.3449343
0.3449343,0.3449343
0.3449343,0.3391261
0.3391261,0.3324079
0.3324079,0.3264768
0.3264768,0.322521
0.322521,0.3208827
0.3208827,0.3208827
0.3208827,0.3211197
0.3211197,0.3226575
0.3226575,0.3248826
0.3248826,0.3270627
0.3270627,0.3286911
0.3286911,0.3286911
0.3286911,0.3295791
0.3295791,0.3298076
0.3298076,0.3295164
0.3295164,0.328864
0.328864,0.3280922
0.3280922,0.3274356
0.3274356,0.3274356
0.3274356,0.3270143
0.3270143,0.3270110
