X,Y
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7555352
0.7555352,0.7548504
0.7548504,0.7568074
0.7568074,0.7587644
0.7587644,0.7587644
0.7587644,0.7607214
0.7607214,0.7626784
0.7626784,0.7646354
0.7646354,0.7665924
0.7665924,0.7682939
0.7682939,0.7680685
0.7680685,0.7655649
0.7655649,0.7655649
0.7655649,0.7612605
0.7612605,0.7556885
0.7556885,0.7521809
0.7521809,0.7513979
0.7513979,0.7511792
0.7511792,0.7511792
0.7511792,0.752249
0.752249,0.7541876
0.7541876,0.7568288
0.7568288,0.7594099
0.7594099,0.7612897
0.7612897,0.7612897
0.7612897,0.7622361
0.7622361,0.7623475
0.7623475,0.7618384
0.7618384,0.7610196
